,Period,District,Parameter,MonthlyAverage,PDKnorm
0,2016-02-01,район Богородское,Диоксид азота,0.024,0.04
1,2016-02-01,район Косино-Ухтомский,Диоксид азота,0.031,0.04
2,2016-02-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.013,0.04
3,2016-02-01,район Косино-Ухтомский,Диоксид серы,0.004,0.05
4,2016-02-01,район Новокосино,Диоксид азота,0.03,0.04
5,2016-02-01,район Новокосино,Взвешенные частицы РМ10,0.016,0.04
6,2016-02-01,район Раменки,Диоксид азота,0.023,0.04
7,2016-02-01,район Раменки,Озон,0.0452,0.03
8,2016-02-01,район Раменки,Взвешенные частицы РМ10,0.013,0.04
9,2016-02-01,район Раменки,Диоксид серы,0.003,0.05
10,2016-02-01,район Тропарёво-Никулино,Диоксид азота,0.032,0.04
11,2016-02-01,Можайский район,Диоксид азота,0.042,0.04
12,2016-02-01,Можайский район,Озон,0.0385,0.03
13,2016-02-01,район Савёлки,Диоксид азота,0.018,0.04
14,2016-02-01,район Силино,Диоксид азота,0.027,0.04
15,2016-02-01,район Силино,Взвешенные частицы РМ10,0.01,0.04
16,2016-02-01,район Крюково,Диоксид азота,0.045,0.04
17,2016-02-01,район Крюково,Озон,0.0311,0.03
18,2016-02-01,поселение Сосенское,Диоксид азота,0.02,0.04
19,2016-02-01,поселение Щербинка,Диоксид азота,0.031,0.04
20,2016-02-01,район Аэропорт,Диоксид азота,0.047,0.04
21,2016-02-01,Дмитровский район,Диоксид азота,0.036,0.04
22,2016-02-01,Дмитровский район,Взвешенные частицы РМ10,0.011,0.04
23,2016-02-01,Дмитровский район,Диоксид серы,0.003,0.05
24,2016-02-01,район Коптево,Диоксид азота,0.034,0.04
25,2016-02-01,Савёловский район,Диоксид азота,0.068,0.04
26,2016-02-01,Савёловский район,Озон,0.0293,0.03
27,2016-02-01,Савёловский район,Диоксид серы,0.003,0.05
28,2016-02-01,район Сокол,Диоксид азота,0.028,0.04
29,2016-02-01,район Южное Медведково,Диоксид азота,0.043,0.04
30,2016-02-01,район Южное Медведково,Диоксид серы,0.005,0.05
31,2016-02-01,Останкинский район,Диоксид азота,0.015,0.04
32,2016-02-01,Останкинский район,Взвешенные частицы РМ10,0.012,0.04
33,2016-02-01,Останкинский район,Диоксид серы,0.0,0.05
34,2016-02-01,район Хорошёво-Мнёвники,Диоксид азота,0.057,0.04
35,2016-02-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.016,0.04
36,2016-02-01,район Хорошёво-Мнёвники,Диоксид серы,0.003,0.05
37,2016-02-01,район Северное Тушино,Диоксид азота,0.04,0.04
38,2016-02-01,район Северное Тушино,Озон,0.0285,0.03
39,2016-02-01,поселение Роговское,Диоксид азота,0.009,0.04
40,2016-02-01,поселение Троицк,Диоксид азота,0.018,0.04
41,2016-02-01,поселение Троицк,Диоксид серы,0.001,0.05
42,2016-02-01,поселение Новофедоровское,Диоксид азота,0.019,0.04
43,2016-02-01,поселение Вороновское,Диоксид азота,0.009,0.04
44,2016-02-01,Мещанский район,Диоксид азота,0.041,0.04
45,2016-02-01,Мещанский район,Взвешенные частицы РМ10,0.017,0.04
46,2016-02-01,Мещанский район,Диоксид серы,0.001,0.05
47,2016-02-01,Басманный район,Диоксид азота,0.046,0.04
48,2016-02-01,Тверской район,Диоксид азота,0.041,0.04
49,2016-02-01,Пресненский район,Диоксид азота,0.029,0.04
50,2016-02-01,Пресненский район,Озон,0.0328,0.03
51,2016-02-01,Пресненский район,Взвешенные частицы РМ10,0.014,0.04
52,2016-02-01,район Хамовники,Диоксид азота,0.054,0.04
53,2016-02-01,район Хамовники,Озон,0.0207,0.03
54,2016-02-01,район Хамовники,Диоксид серы,0.003,0.05
55,2016-02-01,район Марьино,Диоксид азота,0.044,0.04
56,2016-02-01,район Марьино,Озон,0.0365,0.03
57,2016-02-01,район Марьино,Взвешенные частицы РМ10,0.009,0.04
58,2016-02-01,район Марьино,Диоксид серы,0.002,0.05
59,2016-02-01,район Люблино,Диоксид азота,0.023,0.04
60,2016-02-01,район Люблино,Диоксид серы,0.003,0.05
61,2016-02-01,Рязанский район,Диоксид азота,0.038,0.04
62,2016-02-01,Рязанский район,Взвешенные частицы РМ10,0.01,0.04
63,2016-02-01,Рязанский район,Диоксид серы,0.005,0.05
64,2016-02-01,район Печатники,Диоксид азота,0.051,0.04
65,2016-02-01,район Печатники,Взвешенные частицы РМ10,0.011,0.04
66,2016-02-01,район Печатники,Диоксид серы,0.003,0.05
67,2016-02-01,район Коньково,Диоксид азота,0.031,0.04
68,2016-02-01,Академический район,Диоксид азота,0.031,0.04
69,2016-02-01,Академический район,Взвешенные частицы РМ10,0.01,0.04
70,2016-02-01,район Южное Бутово,Диоксид азота,0.032,0.04
71,2016-02-01,район Южное Бутово,Взвешенные частицы РМ10,0.01,0.04
72,2016-02-01,Донской район,Диоксид азота,0.039,0.04
73,2016-02-01,Донской район,Озон,0.0335,0.03
74,2016-02-01,Донской район,Взвешенные частицы РМ10,0.009,0.04
75,2016-02-01,Донской район,Диоксид серы,0.001,0.05
76,2016-02-01,район Бирюлёво Западное,Диоксид азота,0.025,0.04
77,2016-02-01,район Бирюлёво Западное,Диоксид серы,0.002,0.05
78,2016-02-01,Даниловский район,Диоксид азота,0.057,0.04
79,2016-02-01,Даниловский район,Озон,0.0119,0.03
80,2016-02-01,Даниловский район,Диоксид серы,0.002,0.05
81,2016-02-01,Донской район,Диоксид азота,0.047,0.04
82,2016-02-01,Донской район,Озон,0.0421,0.03
83,2016-02-01,Донской район,Диоксид серы,0.002,0.05
84,2016-02-01,район Орехово-Борисово Южное,Диоксид азота,0.037,0.04
85,2016-02-01,район Орехово-Борисово Южное,Диоксид серы,0.002,0.05
86,2016-02-01,район Царицыно,Диоксид азота,0.038,0.04
87,2016-02-01,район Царицыно,Взвешенные частицы РМ10,0.011,0.04
88,2016-02-01,район Царицыно,Диоксид серы,0.002,0.05
89,2016-03-01,район Богородское,Диоксид азота,0.024,0.04
90,2016-03-01,район Косино-Ухтомский,Диоксид азота,0.027,0.04
91,2016-03-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.018,0.04
92,2016-03-01,район Косино-Ухтомский,Диоксид серы,0.004,0.05
93,2016-03-01,район Новокосино,Диоксид азота,0.034,0.04
94,2016-03-01,район Новокосино,Взвешенные частицы РМ10,0.025,0.04
95,2016-03-01,район Раменки,Диоксид азота,0.031,0.04
96,2016-03-01,район Раменки,Озон,0.0451,0.03
97,2016-03-01,район Раменки,Взвешенные частицы РМ10,0.018,0.04
98,2016-03-01,район Раменки,Диоксид серы,0.003,0.05
99,2016-03-01,район Тропарёво-Никулино,Диоксид азота,0.042,0.04
100,2016-03-01,Можайский район,Диоксид азота,0.051,0.04
101,2016-03-01,Можайский район,Озон,0.0401,0.03
102,2016-03-01,район Савёлки,Диоксид азота,0.018,0.04
103,2016-03-01,район Силино,Диоксид азота,0.026,0.04
104,2016-03-01,район Силино,Взвешенные частицы РМ10,0.007,0.04
105,2016-03-01,район Крюково,Диоксид азота,0.044,0.04
106,2016-03-01,район Крюково,Озон,0.0321,0.03
107,2016-03-01,поселение Сосенское,Диоксид азота,0.041,0.04
108,2016-03-01,поселение Щербинка,Диоксид азота,0.047,0.04
109,2016-03-01,район Аэропорт,Диоксид азота,0.061,0.04
110,2016-03-01,Дмитровский район,Диоксид азота,0.044,0.04
111,2016-03-01,Дмитровский район,Взвешенные частицы РМ10,0.023,0.04
112,2016-03-01,Дмитровский район,Диоксид серы,0.003,0.05
113,2016-03-01,район Коптево,Диоксид азота,0.039,0.04
114,2016-03-01,Савёловский район,Диоксид азота,0.076,0.04
115,2016-03-01,Савёловский район,Озон,0.0332,0.03
116,2016-03-01,Савёловский район,Диоксид серы,0.004,0.05
117,2016-03-01,район Сокол,Диоксид азота,0.033,0.04
118,2016-03-01,район Южное Медведково,Диоксид азота,0.048,0.04
119,2016-03-01,район Южное Медведково,Диоксид серы,0.007,0.05
120,2016-03-01,Останкинский район,Диоксид азота,0.013,0.04
121,2016-03-01,Останкинский район,Взвешенные частицы РМ10,0.027,0.04
122,2016-03-01,Останкинский район,Диоксид серы,0.001,0.05
123,2016-03-01,район Хорошёво-Мнёвники,Диоксид азота,0.057,0.04
124,2016-03-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.035,0.04
125,2016-03-01,район Хорошёво-Мнёвники,Диоксид серы,0.004,0.05
126,2016-03-01,район Северное Тушино,Диоксид азота,0.051,0.04
127,2016-03-01,район Северное Тушино,Озон,0.0325,0.03
128,2016-03-01,поселение Роговское,Диоксид азота,0.017,0.04
129,2016-03-01,поселение Троицк,Диоксид азота,0.03,0.04
130,2016-03-01,поселение Троицк,Диоксид серы,0.003,0.05
131,2016-03-01,поселение Новофедоровское,Диоксид азота,0.032,0.04
132,2016-03-01,поселение Вороновское,Диоксид азота,0.015,0.04
133,2016-03-01,Мещанский район,Диоксид азота,0.051,0.04
134,2016-03-01,Мещанский район,Взвешенные частицы РМ10,0.052,0.04
135,2016-03-01,Басманный район,Диоксид азота,0.047,0.04
136,2016-03-01,Тверской район,Диоксид азота,0.044,0.04
137,2016-03-01,Пресненский район,Диоксид азота,0.032,0.04
138,2016-03-01,Пресненский район,Озон,0.0375,0.03
139,2016-03-01,Пресненский район,Взвешенные частицы РМ10,0.022,0.04
140,2016-03-01,район Хамовники,Диоксид азота,0.059,0.04
141,2016-03-01,район Хамовники,Озон,0.0158,0.03
142,2016-03-01,район Хамовники,Диоксид серы,0.003,0.05
143,2016-03-01,район Марьино,Диоксид азота,0.049,0.04
144,2016-03-01,район Марьино,Озон,0.0399,0.03
145,2016-03-01,район Марьино,Взвешенные частицы РМ10,0.015,0.04
146,2016-03-01,район Марьино,Диоксид серы,0.004,0.05
147,2016-03-01,район Люблино,Диоксид азота,0.045,0.04
148,2016-03-01,район Люблино,Диоксид серы,0.003,0.05
149,2016-03-01,Рязанский район,Диоксид азота,0.041,0.04
150,2016-03-01,Рязанский район,Взвешенные частицы РМ10,0.018,0.04
151,2016-03-01,Рязанский район,Диоксид серы,0.005,0.05
152,2016-03-01,район Печатники,Диоксид азота,0.056,0.04
153,2016-03-01,район Печатники,Взвешенные частицы РМ10,0.024,0.04
154,2016-03-01,район Печатники,Диоксид серы,0.003,0.05
155,2016-03-01,район Коньково,Диоксид азота,0.042,0.04
156,2016-03-01,Академический район,Диоксид азота,0.043,0.04
157,2016-03-01,Академический район,Взвешенные частицы РМ10,0.018,0.04
158,2016-03-01,район Южное Бутово,Диоксид азота,0.044,0.04
159,2016-03-01,район Южное Бутово,Взвешенные частицы РМ10,0.022,0.04
160,2016-03-01,Донской район,Диоксид азота,0.04,0.04
161,2016-03-01,Донской район,Озон,0.0381,0.03
162,2016-03-01,Донской район,Взвешенные частицы РМ10,0.017,0.04
163,2016-03-01,район Бирюлёво Западное,Диоксид азота,0.028,0.04
164,2016-03-01,район Бирюлёво Западное,Диоксид серы,0.003,0.05
165,2016-03-01,Даниловский район,Диоксид азота,0.061,0.04
166,2016-03-01,Даниловский район,Озон,0.0257,0.03
167,2016-03-01,Даниловский район,Диоксид серы,0.002,0.05
168,2016-03-01,Донской район,Диоксид азота,0.054,0.04
169,2016-03-01,Донской район,Озон,0.0401,0.03
170,2016-03-01,Донской район,Диоксид серы,0.003,0.05
171,2016-03-01,район Орехово-Борисово Южное,Диоксид азота,0.041,0.04
172,2016-03-01,район Орехово-Борисово Южное,Диоксид серы,0.006,0.05
173,2016-03-01,район Царицыно,Диоксид азота,0.038,0.04
174,2016-03-01,район Царицыно,Взвешенные частицы РМ10,0.021,0.04
175,2016-03-01,район Царицыно,Диоксид серы,0.004,0.05
176,2016-04-01,район Богородское,Диоксид азота,0.022,0.04
177,2016-04-01,район Косино-Ухтомский,Диоксид азота,0.035,0.04
178,2016-04-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.03,0.04
179,2016-04-01,район Косино-Ухтомский,Диоксид серы,0.004,0.05
180,2016-04-01,район Новокосино,Диоксид азота,0.036,0.04
181,2016-04-01,район Новокосино,Взвешенные частицы РМ10,0.039,0.04
182,2016-04-01,район Раменки,Диоксид азота,0.026,0.04
183,2016-04-01,район Раменки,Озон,0.0565,0.03
184,2016-04-01,район Раменки,Взвешенные частицы РМ10,0.028,0.04
185,2016-04-01,район Раменки,Диоксид серы,0.003,0.05
186,2016-04-01,район Тропарёво-Никулино,Диоксид азота,0.037,0.04
187,2016-04-01,Можайский район,Диоксид азота,0.046,0.04
188,2016-04-01,Можайский район,Озон,0.0499,0.03
189,2016-04-01,район Савёлки,Диоксид азота,0.016,0.04
190,2016-04-01,район Силино,Диоксид азота,0.021,0.04
191,2016-04-01,район Силино,Взвешенные частицы РМ10,0.022,0.04
192,2016-04-01,район Крюково,Диоксид азота,0.029,0.04
193,2016-04-01,район Крюково,Озон,0.0352,0.03
194,2016-04-01,поселение Сосенское,Диоксид азота,0.032,0.04
195,2016-04-01,поселение Щербинка,Диоксид азота,0.041,0.04
196,2016-04-01,район Аэропорт,Диоксид азота,0.06,0.04
197,2016-04-01,Дмитровский район,Диоксид азота,0.04,0.04
198,2016-04-01,Дмитровский район,Взвешенные частицы РМ10,0.04,0.04
199,2016-04-01,Дмитровский район,Диоксид серы,0.003,0.05
200,2016-04-01,район Коптево,Диоксид азота,0.035,0.04
201,2016-04-01,Савёловский район,Диоксид азота,0.074,0.04
202,2016-04-01,Савёловский район,Озон,0.0373,0.03
203,2016-04-01,Савёловский район,Диоксид серы,0.003,0.05
204,2016-04-01,район Сокол,Диоксид азота,0.034,0.04
205,2016-04-01,район Южное Медведково,Диоксид азота,0.044,0.04
206,2016-04-01,Останкинский район,Диоксид азота,0.012,0.04
207,2016-04-01,Останкинский район,Взвешенные частицы РМ10,0.032,0.04
208,2016-04-01,Останкинский район,Диоксид серы,0.001,0.05
209,2016-04-01,район Хорошёво-Мнёвники,Диоксид азота,0.054,0.04
210,2016-04-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.046,0.04
211,2016-04-01,район Северное Тушино,Диоксид азота,0.045,0.04
212,2016-04-01,район Северное Тушино,Озон,0.0417,0.03
213,2016-04-01,поселение Роговское,Диоксид азота,0.012,0.04
214,2016-04-01,поселение Троицк,Диоксид азота,0.024,0.04
215,2016-04-01,поселение Новофедоровское,Диоксид азота,0.025,0.04
216,2016-04-01,поселение Вороновское,Диоксид азота,0.011,0.04
217,2016-04-01,Мещанский район,Диоксид азота,0.052,0.04
218,2016-04-01,Мещанский район,Взвешенные частицы РМ10,0.069,0.04
219,2016-04-01,Басманный район,Диоксид азота,0.045,0.04
220,2016-04-01,Тверской район,Диоксид азота,0.049,0.04
221,2016-04-01,Пресненский район,Диоксид азота,0.031,0.04
222,2016-04-01,Пресненский район,Озон,0.0539,0.03
223,2016-04-01,Пресненский район,Взвешенные частицы РМ10,0.028,0.04
224,2016-04-01,район Хамовники,Диоксид азота,0.054,0.04
225,2016-04-01,район Хамовники,Озон,0.03,0.03
226,2016-04-01,район Хамовники,Диоксид серы,0.002,0.05
227,2016-04-01,район Марьино,Диоксид азота,0.05,0.04
228,2016-04-01,район Марьино,Озон,0.0472,0.03
229,2016-04-01,район Марьино,Взвешенные частицы РМ10,0.029,0.04
230,2016-04-01,район Марьино,Диоксид серы,0.004,0.05
231,2016-04-01,район Люблино,Диоксид азота,0.045,0.04
232,2016-04-01,район Люблино,Диоксид серы,0.003,0.05
233,2016-04-01,Рязанский район,Диоксид азота,0.035,0.04
234,2016-04-01,Рязанский район,Взвешенные частицы РМ10,0.025,0.04
235,2016-04-01,Рязанский район,Диоксид серы,0.004,0.05
236,2016-04-01,район Печатники,Диоксид азота,0.056,0.04
237,2016-04-01,район Печатники,Взвешенные частицы РМ10,0.031,0.04
238,2016-04-01,район Печатники,Диоксид серы,0.004,0.05
239,2016-04-01,район Коньково,Диоксид азота,0.039,0.04
240,2016-04-01,Академический район,Диоксид азота,0.037,0.04
241,2016-04-01,Академический район,Взвешенные частицы РМ10,0.028,0.04
242,2016-04-01,район Южное Бутово,Диоксид азота,0.036,0.04
243,2016-04-01,район Южное Бутово,Взвешенные частицы РМ10,0.032,0.04
244,2016-04-01,Донской район,Диоксид азота,0.052,0.04
245,2016-04-01,Донской район,Взвешенные частицы РМ10,0.03,0.04
246,2016-04-01,район Бирюлёво Западное,Диоксид азота,0.026,0.04
247,2016-04-01,район Бирюлёво Западное,Диоксид серы,0.001,0.05
248,2016-04-01,Даниловский район,Диоксид азота,0.058,0.04
249,2016-04-01,Даниловский район,Озон,0.0293,0.03
250,2016-04-01,Даниловский район,Диоксид серы,0.001,0.05
251,2016-04-01,Донской район,Диоксид азота,0.053,0.04
252,2016-04-01,Донской район,Озон,0.0446,0.03
253,2016-04-01,Донской район,Диоксид серы,0.002,0.05
254,2016-04-01,район Орехово-Борисово Южное,Диоксид азота,0.039,0.04
255,2016-04-01,район Орехово-Борисово Южное,Диоксид серы,0.003,0.05
256,2016-04-01,район Царицыно,Диоксид азота,0.046,0.04
257,2016-04-01,район Царицыно,Взвешенные частицы РМ10,0.028,0.04
258,2016-04-01,район Царицыно,Диоксид серы,0.002,0.05
259,2016-05-01,район Богородское,Диоксид азота,0.017,0.04
260,2016-05-01,район Косино-Ухтомский,Диоксид азота,0.02,0.04
261,2016-05-01,район Косино-Ухтомский,Взвешенные частицы РМ10,0.028,0.04
262,2016-05-01,район Косино-Ухтомский,Диоксид серы,0.002,0.05
263,2016-05-01,район Новокосино,Диоксид азота,0.027,0.04
264,2016-05-01,район Новокосино,Взвешенные частицы РМ10,0.032,0.04
265,2016-05-01,район Раменки,Диоксид азота,0.023,0.04
266,2016-05-01,район Раменки,Озон,0.0573,0.03
267,2016-05-01,район Раменки,Взвешенные частицы РМ10,0.024,0.04
268,2016-05-01,район Раменки,Диоксид серы,0.004,0.05
269,2016-05-01,район Тропарёво-Никулино,Диоксид азота,0.036,0.04
270,2016-05-01,Можайский район,Диоксид азота,0.045,0.04
271,2016-05-01,Можайский район,Озон,0.055,0.03
272,2016-05-01,район Савёлки,Диоксид азота,0.014,0.04
273,2016-05-01,район Силино,Диоксид азота,0.021,0.04
274,2016-05-01,район Силино,Взвешенные частицы РМ10,0.018,0.04
275,2016-05-01,район Крюково,Диоксид азота,0.027,0.04
276,2016-05-01,район Крюково,Озон,0.037,0.03
277,2016-05-01,поселение Сосенское,Диоксид азота,0.038,0.04
278,2016-05-01,поселение Щербинка,Диоксид азота,0.039,0.04
279,2016-05-01,район Аэропорт,Диоксид азота,0.076,0.04
280,2016-05-01,Дмитровский район,Диоксид азота,0.037,0.04
281,2016-05-01,Дмитровский район,Взвешенные частицы РМ10,0.04,0.04
282,2016-05-01,Дмитровский район,Диоксид серы,0.002,0.05
283,2016-05-01,район Коптево,Диоксид азота,0.033,0.04
284,2016-05-01,Савёловский район,Диоксид азота,0.073,0.04
285,2016-05-01,Савёловский район,Озон,0.0403,0.03
286,2016-05-01,Савёловский район,Диоксид серы,0.002,0.05
287,2016-05-01,район Сокол,Диоксид азота,0.024,0.04
288,2016-05-01,район Южное Медведково,Диоксид азота,0.042,0.04
289,2016-05-01,Останкинский район,Диоксид азота,0.012,0.04
290,2016-05-01,Останкинский район,Взвешенные частицы РМ10,0.026,0.04
291,2016-05-01,Останкинский район,Диоксид серы,0.001,0.05
292,2016-05-01,район Хорошёво-Мнёвники,Диоксид азота,0.046,0.04
293,2016-05-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.03,0.04
294,2016-05-01,район Северное Тушино,Диоксид азота,0.044,0.04
295,2016-05-01,район Северное Тушино,Озон,0.0417,0.03
296,2016-05-01,поселение Роговское,Диоксид азота,0.017,0.04
297,2016-05-01,поселение Троицк,Диоксид азота,0.027,0.04
298,2016-05-01,поселение Новофедоровское,Диоксид азота,0.026,0.04
299,2016-05-01,поселение Вороновское,Диоксид азота,0.011,0.04
300,2016-05-01,Мещанский район,Диоксид азота,0.052,0.04
301,2016-05-01,Мещанский район,Взвешенные частицы РМ10,0.057,0.04
302,2016-05-01,Мещанский район,Диоксид серы,0.002,0.05
303,2016-05-01,Басманный район,Диоксид азота,0.039,0.04
304,2016-05-01,Тверской район,Диоксид азота,0.04,0.04
305,2016-05-01,Пресненский район,Диоксид азота,0.03,0.04
306,2016-05-01,Пресненский район,Озон,0.0615,0.03
307,2016-05-01,Пресненский район,Взвешенные частицы РМ10,0.028,0.04
308,2016-05-01,район Хамовники,Диоксид азота,0.047,0.04
309,2016-05-01,район Хамовники,Озон,0.0332,0.03
310,2016-05-01,район Хамовники,Диоксид серы,0.001,0.05
311,2016-05-01,район Марьино,Диоксид азота,0.037,0.04
312,2016-05-01,район Марьино,Озон,0.0555,0.03
313,2016-05-01,район Марьино,Взвешенные частицы РМ10,0.032,0.04
314,2016-05-01,район Марьино,Диоксид серы,0.003,0.05
315,2016-05-01,район Люблино,Диоксид азота,0.046,0.04
316,2016-05-01,район Люблино,Диоксид серы,0.004,0.05
317,2016-05-01,Рязанский район,Диоксид азота,0.029,0.04
318,2016-05-01,Рязанский район,Взвешенные частицы РМ10,0.021,0.04
319,2016-05-01,Рязанский район,Диоксид серы,0.003,0.05
320,2016-05-01,район Печатники,Диоксид азота,0.047,0.04
321,2016-05-01,район Печатники,Взвешенные частицы РМ10,0.025,0.04
322,2016-05-01,район Печатники,Диоксид серы,0.004,0.05
323,2016-05-01,район Коньково,Диоксид азота,0.039,0.04
324,2016-05-01,Академический район,Диоксид азота,0.038,0.04
325,2016-05-01,Академический район,Взвешенные частицы РМ10,0.02,0.04
326,2016-05-01,район Южное Бутово,Диоксид азота,0.038,0.04
327,2016-05-01,район Южное Бутово,Взвешенные частицы РМ10,0.031,0.04
328,2016-05-01,Донской район,Диоксид азота,0.044,0.04
329,2016-05-01,Донской район,Взвешенные частицы РМ10,0.028,0.04
330,2016-05-01,район Бирюлёво Западное,Диоксид азота,0.025,0.04
331,2016-05-01,район Бирюлёво Западное,Диоксид серы,0.002,0.05
332,2016-05-01,Даниловский район,Диоксид азота,0.05,0.04
333,2016-05-01,Даниловский район,Озон,0.0291,0.03
334,2016-05-01,Даниловский район,Диоксид серы,0.001,0.05
335,2016-05-01,Донской район,Диоксид азота,0.05,0.04
336,2016-05-01,Донской район,Озон,0.0503,0.03
337,2016-05-01,Донской район,Диоксид серы,0.001,0.05
338,2016-05-01,район Орехово-Борисово Южное,Диоксид азота,0.037,0.04
339,2016-05-01,район Орехово-Борисово Южное,Диоксид серы,0.005,0.05
340,2016-05-01,район Царицыно,Диоксид азота,0.047,0.04
341,2016-05-01,район Царицыно,Взвешенные частицы РМ10,0.023,0.04
342,2016-05-01,район Царицыно,Диоксид серы,0.004,0.05
343,2016-06-01,район Богородское,Диоксид азота,0.017,0.04
344,2016-06-01,район Косино-Ухтомский,Диоксид азота,0.026,0.04
345,2016-06-01,район Косино-Ухтомский,Диоксид серы,0.002,0.05
346,2016-06-01,район Новокосино,Диоксид азота,0.03,0.04
347,2016-06-01,район Новокосино,Взвешенные частицы РМ10,0.027,0.04
348,2016-06-01,район Раменки,Диоксид азота,0.018,0.04
349,2016-06-01,район Раменки,Озон,0.0574,0.03
350,2016-06-01,район Раменки,Взвешенные частицы РМ10,0.021,0.04
351,2016-06-01,район Раменки,Диоксид серы,0.004,0.05
352,2016-06-01,район Тропарёво-Никулино,Диоксид азота,0.029,0.04
353,2016-06-01,Можайский район,Диоксид азота,0.036,0.04
354,2016-06-01,Можайский район,Озон,0.0501,0.03
355,2016-06-01,район Савёлки,Диоксид азота,0.011,0.04
356,2016-06-01,район Силино,Диоксид азота,0.016,0.04
357,2016-06-01,район Силино,Взвешенные частицы РМ10,0.017,0.04
358,2016-06-01,район Крюково,Диоксид азота,0.022,0.04
359,2016-06-01,район Крюково,Озон,0.035,0.03
360,2016-06-01,поселение Щербинка,Диоксид азота,0.03,0.04
361,2016-06-01,район Аэропорт,Диоксид азота,0.065,0.04
362,2016-06-01,Дмитровский район,Диоксид азота,0.028,0.04
363,2016-06-01,Дмитровский район,Взвешенные частицы РМ10,0.027,0.04
364,2016-06-01,Дмитровский район,Диоксид серы,0.002,0.05
365,2016-06-01,район Коптево,Диоксид азота,0.026,0.04
366,2016-06-01,Савёловский район,Диоксид азота,0.063,0.04
367,2016-06-01,Савёловский район,Озон,0.0389,0.03
368,2016-06-01,Савёловский район,Диоксид серы,0.002,0.05
369,2016-06-01,район Сокол,Диоксид азота,0.013,0.04
370,2016-06-01,район Южное Медведково,Диоксид азота,0.036,0.04
371,2016-06-01,Останкинский район,Диоксид азота,0.009,0.04
372,2016-06-01,Останкинский район,Взвешенные частицы РМ10,0.02,0.04
373,2016-06-01,Останкинский район,Диоксид серы,0.002,0.05
374,2016-06-01,район Хорошёво-Мнёвники,Диоксид азота,0.041,0.04
375,2016-06-01,район Хорошёво-Мнёвники,Взвешенные частицы РМ10,0.026,0.04
376,2016-06-01,район Северное Тушино,Диоксид азота,0.03,0.04
377,2016-06-01,район Северное Тушино,Озон,0.0401,0.03
378,2016-06-01,поселение Троицк,Диоксид азота,0.021,0.04
379,2016-06-01,поселение Вороновское,Диоксид азота,0.007,0.04
380,2016-06-01,Мещанский район,Диоксид азота,0.044,0.04
381,2016-06-01,Мещанский район,Диоксид серы,0.001,0.05
382,2016-06-01,Басманный район,Диоксид азота,0.034,0.04
383,2016-06-01,Тверской район,Диоксид азота,0.036,0.04
384,2016-06-01,Пресненский район,Озон,0.054,0.03
385,2016-06-01,Пресненский район,Взвешенные частицы РМ10,0.023,0.04
386,2016-06-01,район Хамовники,Диоксид азота,0.043,0.04
387,2016-06-01,район Хамовники,Озон,0.0323,0.03
388,2016-06-01,район Хамовники,Диоксид серы,0.002,0.05
389,2016-06-01,район Марьино,Диоксид азота,0.02,0.04
390,2016-06-01,район Марьино,Озон,0.0539,0.03
391,2016-06-01,район Марьино,Взвешенные частицы РМ10,0.025,0.04
392,2016-06-01,район Марьино,Диоксид серы,0.002,0.05
393,2016-06-01,район Люблино,Диоксид азота,0.038,0.04
394,2016-06-01,район Люблино,Диоксид серы,0.002,0.05
395,2016-06-01,Рязанский район,Диоксид азота,0.027,0.04
396,2016-06-01,Рязанский район,Взвешенные частицы РМ10,0.017,0.04
397,2016-06-01,Рязанский район,Диоксид серы,0.002,0.05
398,2016-06-01,район Печатники,Диоксид азота,0.042,0.04
399,2016-06-01,район Печатники,Взвешенные частицы РМ10,0.017,0.04
400,2016-06-01,район Печатники,Диоксид серы,0.003,0.05
401,2016-06-01,район Коньково,Диоксид азота,0.033,0.04
402,2016-06-01,Академический район,Диоксид азота,0.029,0.04
403,2016-06-01,Академический район,Взвешенные частицы РМ10,0.013,0.04
404,2016-06-01,район Южное Бутово,Взвешенные частицы РМ10,0.02,0.04
405,2016-06-01,Донской район,Диоксид азота,0.032,0.04
406,2016-06-01,Донской район,Взвешенные частицы РМ10,0.017,0.04
407,2016-06-01,район Бирюлёво Западное,Диоксид азота,0.023,0.04
408,2016-06-01,район Бирюлёво Западное,Диоксид серы,0.004,0.05
409,2016-06-01,Даниловский район,Диоксид азота,0.039,0.04
410,2016-06-01,Даниловский район,Озон,0.0186,0.03
411,2016-06-01,Даниловский район,Диоксид серы,0.002,0.05
412,2016-06-01,Донской район,Диоксид азота,0.042,0.04
413,2016-06-01,Донской район,Озон,0.049,0.03
414,2016-06-01,Донской район,Диоксид серы,0.001,0.05
415,2016-06-01,район Орехово-Борисово Южное,Диоксид азота,0.031,0.04
416,2016-06-01,район Орехово-Борисово Южное,Диоксид серы,0.002,0.05
417,2016-06-01,район Царицыно,Диоксид азота,0.042,0.04
418,2016-06-01,район Царицыно,Взвешенные частицы РМ10,0.018,0.04
